Is Alnwick Castle in Scotland?,YES,Topo,,,,,
Which is the largest city of Ireland?,,,,,,,
How many country councils are there in Ireland?,,,,,,,
Which colleges are in London?,YES,Topo,,,,,
Which city council includes Dublin?,,,,,,,
Which restaurants are near Stonehenge?,,,,,,,
How many districts does Northern Ireland have?,,,,,,,
Which are the non-metropolitan counties of England?,,,,,,,
"What tourist attractions are there in Belfast, Northern Ireland?",,,,,,,
"Which pubs are near Mercure Hotel in Glasgow, Scotland?",,,,,,,
"Which are the main railway stations in Glasgow, Scotland?",,,,,,,
"Are there more than 10 districts in Hampshire, England?",,,,,,,
Is there a mountain within 20km of Cheshire?,,,,,,,
What historical monuments are there in London?,YES,Topo,,,,,
Which rivers in Scotland have more than 100 km length?,,,,,,,
What is the elevation of the most elevated spot in county Down?,,,,,,,
What is the area of county Chesire?,,,,,,,
Which are the districts of county Chesire?,,,,,,,
Which is the largest county of England?,,,,,,,
What is the length of river Thames?,,,,,,,
Where is Tower Bridge located?,,,,,,,
Does London have a mountain?,,,,,,,
How many rivers cross England's cities?,,,,,,,
Is London south of Manchester?,YES,cdc,,,,,
Is Islington near Angel?,,,,,,,
Is the City of London north of the Thames river?,YES,cdc,,,,,
Are there any lakes in Scotland?,,,,,,,
Is there a car park near a bridge on river Exe?,,,,,,,
Which car park is closest to a bridge on river Exe?,,,,,,,
Which counties border county Donegal to the south?,YES,Topo,,,,,
What is the longest river in England and Wales?,,,,,,,
Which restaurants in London are near Kensington Palace?,,,,,,,
Is there a forest near Manchester?,,,,,,,
Which medieval castles are in Scotland?,YES,Topo,,,,,
Which provinces of Ireland have population over 2 million?,,,,,,,
What London underground stations are closest to the British Museum?,,,,,,,
What is the most populated city in the United Kingdom except London?,,,,,,,
Is the monument of the Great Fire of London east of King WIlliam Street?,YES,cdc,,,,,
Is the Tower of London near river Thames?,,,,,,,
Which bars are near Prince's street in Edinburgh?,,,,,,,
What is the most densely populated city in Ireland?,,,,,,,
Does Hammersmith Bridge connect Hammersmith with Barnes?,,,,,,,
Which hotels are near Loch Ness?,,,,,,,
Is there a museum at most 1km from Liverpool?,,,,,,,
In which part of England is Liverpool located?,,,,,,,
Which city in Scotland has the largest population?,,,,,,,
Is Glasgow the largest city of Scotland in terms of population?,,,,,,,
What is the distance between Liverpool and Glasgow?,,,,,,,
Is Liverpool part of Scotland?,YES,Topo,,,,,
In what county is Stonehenge located?,,,,,,,
Which rivers discharge into the Solway Firth?,,,,,,,
Which museums are within 3km of Saint George's hotel in London?,,,,,,,
Is there a forest in county Cheshire?,YES,Topo,,,,,
Which art museums are at most 1km from Charlotte Square in Edinburgh?,,,,,,,
How many rivers cross Edinburgh?,YES,Topo,,,,,
How many counties does the river Thames cross?,YES,Topo,,,,,
Which rivers cross county Cheshire?,YES,Topo,,,,,
Which county is east of county Dorset?,YES,cdc,,,,,
Is there a river that crosses county Greater Manchester?,YES,Topo,,,,,
